label,centros,type,competencias,lineas
1429,50018830,recm,"Competencia en comunicación lingüística,Competencias sociales y cívicas",Comunicación oral
1430,50011008,recm,Competencias sociales y cívicas,"Gestión de las emociones,Compromiso social"
1431,22001875,recm,Competencias sociales y cívicas,Gestión de las emociones
1432,50018143,recm,Competencias sociales y cívicas,Gestión de las emociones
1433,50018143,recm,Competencia en comunicación lingüística,Comunicación oral
1434,50017369,recm,Competencias sociales y cívicas,Gestión de las emociones
1435,44004148,recm,Competencias sociales y cívicas,Gestión de las emociones
1436,50017448,recm,"Aprender a aprender,Competencia en comunicación lingüística,Sentido de la iniciativa y espíritu emprendedor,Competencia digital,Competencias sociales y cívicas",TAC (Tecnologías del Aprendizaje y del Conocimiento)
1437,"50018283,50006220,50009403,50005641,50009452,50018271",recm,"Competencia matemática y competencias básicas en ciencia y tecnología,Competencia en comunicación lingüística,Competencias sociales y cívicas,Aprender a aprender,Competencia digital","TAC (Tecnologías del Aprendizaje y del Conocimiento), Gestión de las emociones, Metodologías activas,"
1438,50011801,recm,Aprender a aprender,Metodologías activas
1439,22010724,recm,"Competencia en comunicación lingüística,Aprender a aprender",Comunicación oral
1440,50017448,recm,"Aprender a aprender,Competencia en comunicación lingüística,Sentido de la iniciativa y espíritu emprendedor,Competencia digital,Competencias sociales y cívicas,Competencia matemática y competencias básicas en ciencia y tecnología",TAC (Tecnologías del Aprendizaje y del Conocimiento)
1441,50017898,recm,Competencia en comunicación lingüística,Comunicación oral
1442,50000412,recm,"Competencia en comunicación lingüística,Sentido de la iniciativa y espíritu emprendedor,Aprender a aprender",Comunicación oral
1443,50017451,recm,Aprender a aprender,Metodologías activas
1444,50018416,recm,Competencias sociales y cívicas,"Gestión de las emociones,"
1445,50017448,recm,"Aprender a aprender,Competencia digital,Competencia en comunicación lingüística,Competencia matemática y competencias básicas en ciencia y tecnología",TAC (Tecnologías del Aprendizaje y del Conocimiento)
1446,50018842,recm,"Competencia en comunicación lingüística,Conciencia y expresiones culturales","Comunicación oral,TAC (Tecnologías del Aprendizaje y del Conocimiento)"
1447,50011288,recm,"Competencia en comunicación lingüística,Aprender a aprender,Competencias sociales y cívicas,Sentido de la iniciativa y espíritu emprendedor,Conciencia y expresiones culturales","Comunicación oral,Gestión de las emociones"
1448,50007133,recm,Competencia matemática y competencias básicas en ciencia y tecnología,Metodologías activas
1449,50018283,recm,"Competencia en comunicación lingüística,Aprender a aprender,Competencias sociales y cívicas,Sentido de la iniciativa y espíritu emprendedor,Conciencia y expresiones culturales",Compromiso social
1450,50010314,recm,"Competencia digital,Sentido de la iniciativa y espíritu emprendedor","TAC (Tecnologías del Aprendizaje y del Conocimiento),Comunicación oral"
