label,webproyecto,responsables,contacto,institucional,pagina,type,link
Cantania,,Esther Sainz,,1,1903,rec,6-300x225.jpg
Cantania CEIP Puente Sardas,,Carlos Álvarez Lanzarote,,1,1910,rec,Cantania Puente Sardas 01.jpg
Cantania es nuestro CRA Matarranya,,,,1,1379,rec,https://youtu.be/yHh3MnvTLuU
Cantania NS Merced,,,,1,1422,rec,https://youtu.be/GXRzkF_RiFM
Capítulo XII don Quijote de la Mancha: El Caballero de los Espejos,,"Alicia Lara Matas, profesora de Lengua castellana y Literatura",,0,1686,rec,https://youtu.be/LoUpGQnvyog
Certamen de Lectura en Voz Alta,http://unrincondelabiblioteca.blogspot.com.es/search/label/certamen,Pilar Ciutad Lacambra,,1,1433,rec,https://www.youtube.com/watch?v=O4m0vC_Q2RM
CERVANTES Y LA BIBLIOTECA ESCOLAR DE ATECA,https://sites.google.com/site/cpateca/biblioteca/biblioteca-1,Jesús Gil Alejandre y Carmen García Martínez,,1,1664,rec,https://www.youtube.com/watch?v=w8v9GwY-jDo
Ciencia en los coles,,,,1,1381,rec,https://youtu.be/wSx5adAI3W4
Ciencia recreativa,,Jesús Medrano Homobono,,0,1745,rec,https://youtu.be/Q-Tfp0MQXrQ
Ciencia Viva,,,,1,1409,rec,https://youtu.be/Dyt5mqc62hg
Ciencias y proyectos comprometidos,http://conldeleer.blogspot.com.es/,"Marta Ambite , Mª Ángeles Laborda",,1,1456,rec,
CILE 1 Inglés,,"Rosa Escriche, Verónica Cintora, Paola García.",,1,1827,rec,
Cine en la Escuela,,,,0,1487,rec,https://youtu.be/FDU-H1Yd6uk
Cole Televisión,http://www.cpilosenlaces.com/cole-television-3/,Amparo Vilaplana; Trini Albesa,,0,1450,rec,https://youtu.be/rjFr9PylY3s
"Colorín Colorado, este cuento aún no se ha terminado",,,,0,1439,rec,https://youtu.be/63CI5ztXcCo
"Como comprendo, me expreso.",http://cpjxizar.educa.aragon.es/,José Luis Félix Fando,,1,1891,rec,"Como comprendo, me expreso.pdf"
Compartiendo. Proyecto de interacción del IES Pedro Cerrada con la residencia de mayores Santa Ana,http://www.iespedrocerrada.org/,Mª Ester Nevado Peláez,,0,1775,rec,https://youtu.be/7jcdHKIXWx0
"Con imaginación, lectura y diversión",,,,0,1736,rec,https://youtu.be/YNyAEFPR9hc
Conoce el CEIP Infanta Elena,http://ceipinfantaelena.catedu.es/wp-content/uploads/2017/04/ceipinfantaelena.pdf,,,0,1874,rec,Colegioinfantaelena.jpg
Conoce el CEIP José María Mir,,,,0,1793,rec,https://youtu.be/-Hh3SB1nR7U
Conoce el CEIP Julio Verne,,,,0,1824,rec,https://youtu.be/Ua_72ottEOc
Conoce el CEIP La Almozara,,,,0,1823,rec,https://youtu.be/FDhMMxM2Hf0
Conoce el CEIP La Estrella,,,,0,1822,rec,https://youtu.be/pPdPl_LT6-Y
Conoce el CEIP La Jota,,,,0,1821,rec,https://youtu.be/Msj2ZiLHZ74
Conoce el CEIP Las Fuentes,,,,0,1820,rec,https://youtu.be/20qgHWZ5d_M
Conoce el CEIP Lucien Briet,,,,0,1819,rec,https://youtu.be/OW3zqV-XvDs
Conoce el CEIP Luis Vives,,,,0,1818,rec,https://youtu.be/ideErZDiI0o
Conoce el CEIP María Moliner,,,,0,1816,rec,https://youtu.be/66LUdUvOHtQ
Conoce el CEIP Marcos Frechín,,,,0,1817,rec,https://youtu.be/fwFoBUYZgh0
Conoce el CEIP Marie Curie,,,,0,1815,rec,https://youtu.be/bzUHaaJ7D9c
Conoce el CEIP Miraflores,,,,0,1814,rec,https://youtu.be/vO75D5Oc7F0
Conoce el CEIP Miralbueno,,,,0,1813,rec,https://youtu.be/qxapCyjSWjM
Conoce el CEIP Monsalud,,,,0,1812,rec,https://youtu.be/kZJVAGjNI3g
Conoce el CEIP Montecanal,,,,0,1811,rec,https://youtu.be/SQms6WBNbhw
Conoce el CEIP Parque Goya,,,,0,1810,rec,https://youtu.be/KrZIJoc4_v0
Conoce el CEIP Puerta de Sancho,,,,0,1809,rec,https://youtu.be/9dX4VVn59oo
Conoce el CEIP Ramón Sáinz de Varanda,,,,0,1807,rec,https://youtu.be/LifNkCWSAR8
Conoce el CEIP Ramiro Soláns,,,,0,1808,rec,https://youtu.be/5m6icOD_2mQ
Conoce el CEIP Río Ebro,,,,0,1805,rec,https://youtu.be/heiS-gSyIkg
Conoce el CEIP Recarte y Ornat,,,,0,1806,rec,https://youtu.be/0C9eGNCa3E8
Conoce el CEIP Ricardo Mur,,,,0,1792,rec,https://youtu.be/-NiZzI_dNyk
Conoce el CEIP San Braulio,,,,0,1905,rec,https://youtu.be/vkB1Tdyvq4c
Conoce el CEIP San Jorge,,,,0,1804,rec,https://youtu.be/F96zqMkiYsA
Conoce el CEIP San José de Calasanz,,,,0,1803,rec,https://youtu.be/-wbzqTVnsLM
Conoce el CEIP Santo Domingo,,,,0,1802,rec,https://youtu.be/T5wVJ5ovD6c
Conoce el CEIP Tío Jorge,,,,0,1800,rec,https://youtu.be/Z1DOfC58LEI
Conoce el CEIP Tenerías,,,,0,1801,rec,https://youtu.be/tDQSG1_wizQ
Conoce el CEIP Tomás Alvira,,,,0,1799,rec,https://youtu.be/aqlTHW3bmqw
Conoce el CEIP Torre Ramona,,,,0,1798,rec,https://youtu.be/DZroU08-Qmc
Conoce el CEIP Vadorrey-Les Allées,,,,0,1797,rec,https://youtu.be/UX8ssoQru3s
Conoce el CEIP Valdespartera,,,,0,1796,rec,https://youtu.be/87_Xv5WjmH8
Conoce el CEIP Zalfonada,,,,0,1795,rec,https://youtu.be/IpOCP5xHGDU
Conoce el CEIP Zaragoza Sur,,,,0,1794,rec,https://youtu.be/OJKr9dJLAqk
COOPERACIÓN,,"Sergio Herranz Asín, Secretario del CEIP &quot;Fernando el Católico&quot;",,0,1730,rec,COOPERACIÓN.jpg
Coro en el GC,,Mónica Aguilera,,1,1410,rec,https://youtu.be/2uvGJhD-QAI
Coro escolar,,,,1,1344,rec,https://youtu.be/bT2hXe4zEPs
Cosas de la edad,,,,1,1339,rec,https://youtu.be/w1qjGicBb20
