label	ComposerLast	ComposerFirst	Composer	Work	Conductor	Performed	TimesPerf	NumConcerts	CumNumConcerts	NumHSOConcerts	CumNumHSOConcerts	Decade	First Date	Date	DayMonth	Year	Soloists	Comments	Venue	ConcertType	Chorus Conductor	Season	Sponsorship	Rating
"Beethoven - Symphony #9, ""Choral"" 1989-09-23"	Beethoven	Ludwig van   	"Beethoven, Ludwig van"	"Symphony #9, ""Choral"""	"Eschenbach, Christoph"	True	3	3	8	3	8	1980	9/23/1989	1989-09-23	23/24/25-Sep	1989	"Benita Valente(s), Katherine Ciesinski (ms), Michael Pabst(t), Jubilant Sykes(b)"		Houston	Classical	"Hausmann, Charles"	89-90	HSO	***
Various - Christmas Pops 1989-12-07	Various	    	Various	Christmas Pops	"Ben-Dor, Gisäle"	True	5	5	13	5	13	1980	12/7/1989	1989-12-07	7/15/16/17/17-Dec	1989	"Debra Hays (s), Darla Barrow (s), Kate Pogue (script), Buck Ross (stage director)"	"The Stories of Christmas: Variations on a Shaker Melody, Copland; Shaker Hymn, I Will Bow and Be Simple; Appalachian Carol, I Wonder as I Wander; Music from Le Bourgeois Gentilhomme, Richard Strauss; Chorus from The Tales of Hoffman, Offenbach. With U of H Chamber Singers. 12/7 private Conoco christmas concert"	Houston	Pops	"Hausmann, Charles"	89-90	HSO	***
Offenbach - Tales of Hoffman 1989-12-07	Offenbach	Jacques	"Offenbach, Jacques"	Tales of Hoffman	"Ben-Dor, Gisäle"	True	5	0	13	0	13	1980	12/7/1989	1989-12-07	7/15/16/17/17-Dec	1989		"Sang Chorus and Olympias Aria, as part of 1989 Christmas Pops. 7-Dec was Conoco Christmas Party."	Houston	Opera	"Hausmann, Charles"	89-90	HSO	
Handel - Messiah 1989-12-17	Handel	George Frideric   	"Handel, George Frideric"	Messiah	"Wagner, Roger"	True	3	3	16	3	16	1980	12/17/1989	1989-12-17	17?/18/19-Dec	1989	"Carolyn James (s), Denyce Graves (ms), Ben Heppner (t), George Hogan (b)"	Concerts at JH (2) and First Methodist (Dec 19)	Houston	Classical	"Hausmann, Charles"	89-90	HSO	*
Lerner - Lerner & Loewe 1990-01-12	Lerner	Jay    	"Lerner, Jay"	Lerner & Loewe	"Wayland, Newton"	False	0	0	16	0	16	1990	1/12/1990	1990-01-12	12/13-Jan	1990	"Katherine Terrell (s), Robert Tate (t), Lewis Dale von Schlanbusch (bar)"	Pops	Houston	Pops	"Hausmann, Charles"	89-90	HSO	***
Various - Selections from Broadway 1990-01-12	Various	    	Various	Selections from Broadway	"Wayland, Newton"	False	0	0	16	0	16	1990	1/12/1990	1990-01-12	12/13-Jan	1990	"Katherine Terrell (s), Robert Tate (t), Lewis Dale von Schlanbusch (b)"	Clizzie Lunine (Choreographer)	Houston	Pops	"Hausmann, Charles"	89-90	HSO	
Nelson - Musical Offering to Maestro Eschenbach 1990-02-20	Nelson	Robert	"Nelson, Robert"	Musical Offering to Maestro Eschenbach	"Hausmann, Charles"	True	1	1	17	1	17	1990	2/20/1990	1990-02-20	20-Feb	1990		" Maestro Eschenbach 50th birthday. Hausmann commissioned the work [""Quod bonum faustum felix, fortunatum que esset,"" followed by fugue ""Happy birthday Maestro Eschenbach (Allegro vivo)]. Nelson is U of H professor. Concert at Hyatt Regency Hotel Ballroom. Men of HSC bellowed as fireworks smoke cleared. The number was the highlight of the evening! Singers got a buffet, but watched as the grand banquet was served."	Houston	General	"Hausmann, Charles"	89-90	HSO	**
Debussy - Nocturnes 1990-03-17	Debussy	Claude    	"Debussy, Claude"	Nocturnes	"Tang, Muhai"	False	0	0	20	0	20	1990	3/17/1990	1990-03-17	17/18/19-Mar	1990		Les Sirenes (Nocturnes). Women of the Chorus.	Houston	Classical	"Hausmann, Charles"	89-90	HSO	
"Villa-Lobos - Choros No. 10, ""Rasga O Coracao"" 1990-03-17"	Villa-Lobos	Heitor    	"Villa-Lobos, Heitor"	"Choros No. 10, ""Rasga O Coracao"""	"Tang, Muhai"	True	3	3	20	3	20	1990	3/17/1990	1990-03-17	17/18/19-Mar	1990		Words by Catullo Cearense.	Houston	Classical	"Hausmann, Charles"	89-90	HSO	***
Orff - Carmina Burana 1990-04-07	Orff	Carl    	"Orff, Carl"	Carmina Burana	"Eberhardt, Cornelius"	True	1	1	21	0	20	1990	4/7/1990	1990-04-07	7-Apr	1990		"Concert with Corpus Christi Symphony Orchestra, in Bayfront Plaza Auditorium, Corpus Christi. With members of the University of Houston Choruses."	Corpus Christi	Classical	"Hausmann, Charles"	89-90	Independent	***
Brahms - German Requiem 1990-04-21	Brahms	Johannes    	"Brahms, Johannes"	German Requiem	"Eschenbach, Christoph"	True	3	3	24	3	23	1990	4/21/1990	1990-04-21	21/22/23-Apr	1990	"Renee Fleming (s), La Verne Williams (ms), Thomas Allen (b)"		Houston	Classical	"Hausmann, Charles"	89-90	HSO	*****
Stravinsky - Requiem Canticles 1990-04-21	Stravinsky	Igor    	"Stravinsky, Igor"	Requiem Canticles	"Eschenbach, Christoph"	True	3	0	24	0	23	1990	4/21/1990	1990-04-21	21/22/23-Apr	1990	"La Verne Williams (ms), Thomas Allen (b)"		Houston	Classical	"Hausmann, Charles"	89-90	HSO	*
